[buoy_detector-3] /usr/lib/python3/dist-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.17.3 and <1.25.0 is required for this version of SciPy (detected version 1.26.4
[buoy_detector-3]   warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
[buoy_detector-3] [INFO] [1771741102.410248609] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741102.536992667] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741102.663489283] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741102.789323036] [buoy_detector]: Detected 10 buoy(s)
[buoy_detector-3] [INFO] [1771741102.906308583] [buoy_detector]: Detected 10 buoy(s)
[buoy_detector-3] [INFO] [1771741103.028214795] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741103.155842305] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741103.281562544] [buoy_detector]: Detected 8 buoy(s)
[buoy_detector-3] [INFO] [1771741103.413891889] [buoy_detector]: Detected 9 buoy(s)
[buoy_detector-3] [INFO] [1771741103.554143231] [buoy_detector]: Detected 10 buoy(s)
[buoy_detector-3] [INFO] [1771741103.657780572] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741103.767987656] [buoy_detector]: Detected 10 buoy(s)
[buoy_detector-3] [INFO] [1771741103.890058486] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741104.015242208] [buoy_detector]: Detected 15 buoy(s)
[buoy_detector-3] [INFO] [1771741104.122241256] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741104.236798244] [buoy_detector]: Detected 16 buoy(s)
[buoy_detector-3] [INFO] [1771741104.375651277] [buoy_detector]: Detected 16 buoy(s)
[buoy_detector-3] [INFO] [1771741104.490349747] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741104.622930403] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741104.743601165] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741104.868341749] [buoy_detector]: Detected 16 buoy(s)
[buoy_detector-3] [INFO] [1771741104.978407349] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741105.092255934] [buoy_detector]: Detected 9 buoy(s)
[buoy_detector-3] [INFO] [1771741105.217063849] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741105.355662942] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741105.482838160] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741105.602861194] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741105.752773691] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741105.860261540] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741106.032731559] [buoy_detector]: Detected 14 buoy(s)
[buoy_detector-3] [INFO] [1771741106.124930107] [buoy_detector]: Detected 14 buoy(s)
[buoy_detector-3] [INFO] [1771741106.246297682] [buoy_detector]: Detected 14 buoy(s)
[buoy_detector-3] [INFO] [1771741106.358522566] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741106.479129192] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741106.581113003] [buoy_detector]: Detected 14 buoy(s)
[buoy_detector-3] [INFO] [1771741106.685839376] [buoy_detector]: Detected 14 buoy(s)
[buoy_detector-3] [INFO] [1771741106.813013216] [buoy_detector]: Detected 14 buoy(s)
[buoy_detector-3] [INFO] [1771741106.941176117] [buoy_detector]: Detected 14 buoy(s)
